"keys"	"values"
"quite"	4
"wretched"	4
"send"	4
"quantity"	4
"ready"	4
"wear"	4
"kill"	4
"maker"	4
"flowers"	4
"imports"	4
"shortly"	4
"begun"	4
"hence"	4
"lucianus"	4
"weeds"	4
"lights"	4
"taking"	4
"stands"	4
"stronger"	4
"whereto"	4
"pleasure"	4
"followers"	4
"wits"	4
"bore"	4
"practice"	4
"gallows"	4
"priest"	4
"fight"	4
"weapon"	4
"six"	4
"poisoned"	4
"tragedy"	3
"unfold"	3
"bitter"	3
"soldier"	3
"appeared"	3
"fantasy"	3
"along"	3
"appear"	3
"story"	3
"nights"	3
"beating"	3
"sometimes"	3
"offended"	3
"ambitious"	3
"gross"	3
"scope"	3
"knows"	3
"subject"	3
"sore"	3
"recover"	3
"chief"	3
"lo"	3
"avoid"	3
"offer"	3
"morn"	3
"present"	3
"dew"	3
"hill"	3
"advice"	3
"green"	3
"wisest"	3
"sometime"	3
"funeral"	3
"delight"	3
"importing"	3
"ourself"	3
"hears"	3
"heartily"	3
"suit"	3
"bend"	3
"bow"	3
"slow"	3
"passing"	3
"solemn"	3
"suits"	3
"forms"	3
"understanding"	3
"theme"	3
"cried"	3
"corpse"	3
"going"	3
"cheer"	3
"loving"	3
"smiling"	3
"rouse"	3
"fixed"	3
"flat"	3
"uses"	3
"months"	3
"winds"	3
"followed"	3
"married"	3
"hercules"	3
"salt"	3
"left"	3
"enemy"	3
"deep"	3
"tables"	3
"goodly"	3
"admiration"	3
"deliver"	3
"middle"	3
"cap"	3
"appears"	3
"dreadful"	3
"secrecy"	3
"third"	3
"loud"	3
"sirs"	3
"foot"	3
"stayed"	3
"person"	3
"treble"	3
"forward"	3
"inward"	3
"chaste"	3
"spring"	3
"aboard"	3
"sail"	3
"shoulder"	3
"steel"	3
"entrance"	3
"purse"	3
"fancy"	3
"rich"	3
"generous"	3
"edge"	3
"canst"	3
"tenders"	3
"ta"	3
"presence"	3
"mere"	3
"pious"	3
"ways"	3
"draws"	3
"wont"	3
"ordnance"	3
"drum"	3
"angels"	3
"defend"	3
"royal"	3
"burst"	3
"ignorance"	3
"wherefore"	3
"fee"	3
"tempt"	3
"ruled"	3
"lets"	3
"following"	3
"rous"	3
"crimes"	3
"hair"	3
"process"	3
"wretch"	3
"stole"	3
"sin"	3
"ning"	3
"distracted"	3
"past"	3
"sworn"	3
"boy"	3
"ne"	3
"saint"	3
"wondrous"	3
"express"	3
"wanton"	3
"gaming"	3
"faults"	3
"fiery"	3
"addition"	3
"wi"	3
"observe"	3
"hat"	3
"piteous"	3
"sort"	3
"close"	3
"entreat"	3
"vouchsafe"	3
"gather"	3
"occasions"	3
"profit"	3
"visitation"	3
"sovereign"	3
"bent"	3
"liege"	3
"feast"	3
"distemper"	3
"borne"	3
"letter"	3
"likes"	3
"outward"	3
"foolish"	3
"remains"	3
"reads"	3
"faithful"	3
"received"	3
"prove"	3
"played"	3
"idle"	3
"mistress"	3
"admit"	3
"otherwise"	3
"proved"	3
"encounter"	3
"thick"	3
"hits"	3
"children"	3
"indifferent"	3
"parts"	3
"doomsday"	3
"beggar"	3
"justly"	3
"confession"	3
"brave"	3
"delights"	3
"exercise"	3
"golden"	3
"stuff"	3
"rapiers"	3
"thither"	3
"nation"	3
"sides"	3
"unless"	3
"carry"	3
"ducats"	3
"ceremony"	3
"haply"	3
"actor"	3
"historical"	3
"pastoral"	3
"scene"	3
"hadst"	3
"jephthah"	3
"judge"	3
"five"	3
"masters"	3
"complexion"	3
"judgements"	3
"finds"	3
"match"	3
"rage"	3
"blow"	3
"stick"	3
"bold"	3
"gods"	3
"wheel"	3
"jig"	3
"mobbled"	3
"caught"	3
"sport"	3
"dozen"	3
"creatures"	3
"organ"	3
"puts"	3
"order"	3
"content"	3
"bestow"	3
"unseen"	3
"affliction"	3
"suffers"	3
"wish"	3
"withdraw"	3
"suffer"	3
"proud"	3
"patient"	3
"fellows"	3
"pure"	3
"powers"	3
"ladies"	3
"placed"	3
"tear"	3
"special"	3
"tame"	3
"election"	3
"pipe"	3
"guilt"	3
"carrying"	3
"kisses"	3
"leaves"	3
"neck"	3
"counsel"	3
"thirty"	3
"wed"	3
"jest"	3
"worse"	3
"murderer"	3
"estate"	3
"courtiers"	3
"heels"	3
"closet"	3
"skill"	3
"pluck"	3
"bless"	3
"prepare"	3
"repent"	3
"revenged"	3
"rash"	3
"brothers"	3
"seal"	3
"mountain"	3
"blind"	3
"corruption"	3
"vice"	3
"refrain"	3
"easiness"	3
"abstinence"	3
"alack"	3
"rapier"	3
"safely"	3
"sponge"	3
"dry"	3
"purposes"	3
"army"	3
"tricks"	3
"tongues"	3
"incensed"	3
"pit"	3
"nony"	3
"becomes"	3
"sailors"	3
"liberal"	3
"trick"	3
"argal"	3
"feeling"	3
"throws"	3
"clay"	3
"liest"	3
"years"	3
"nine"	3
"rites"	3
"evil"	3
"trial"	3
"gain"	3
"win"	3
"odds"	3
"poland"	3
"livery"	3
"expansive"	3
"version"	3
"several"	2
"mouse"	2
"relieved"	2
"apparition"	2
"approve"	2
"tush"	2
"pole"	2
"yon"	2
"burns"	2
"bell"	2
"beaver"	2
"complete"	2
"holding"	2
"truncheon"	2
"scholar"	2
"spoke"	2
"usurp"	2
"tremble"	2
"parley"	2
"ice"	2
"strict"	2
"nightly"	2
"war"	2
"divide"	2
"joint"	2
"inform"	2
"least"	2
"whisper"	2
"valiant"	2
"side"	2
"heraldry"	2
"article"	2
"mettle"	2
"diet"	2
"enterprise"	2
"food"	2
"source"	2
"post"	2
"blast"	2
"fate"	2
"strike"	2
"majestical"	2
"blows"	2
"malicious"	2
"crew"	2
"awake"	2
"confine"	2
"bird"	2
"walks"	2
"needful"	2
"hearts"	2
"imperial"	2
"mirth"	2
"equal"	2
"scale"	2
"taken"	2
"weak"	2
"worth"	2
"meeting"	2
"suppress"	2
"gait"	2
"levies"	2
"dispatch"	2
"bearers"	2
"asking"	2
"throne"	2
"willingly"	2
"towards"	2
"graces"	2
"kin"	2
"forced"	2
"actions"	2
"obligation"	2
"term"	2
"vulgar"	2
"opposition"	2
"absurd"	2
"fathers"	2
"today"	2
"immediate"	2
"bears"	2
"dearest"	2
"intent"	2
"remain"	2
"prayers"	2
"reply"	2
"whereof"	2
"thunder"	2
"melt"	2
"self"	2
"slaughter"	2
"weary"	2
"garden"	2
"merely"	2
"hyperion"	2
"roughly"	2
"fed"	2
"shoes"	2
"wants"	2
"truant"	2
"baked"	2
"coldly"	2
"foe"	2
"witness"	2
"waste"	2
"points"	2
"delivered"	2
"platform"	2
"troubles"	2
"toe"	2
"red"	2
"hundred"	2
"sable"	2
"hitherto"	2
"requite"	2
"twixt"	2
"rise"	2
"assistant"	2
"toy"	2
"lasting"	2
"perfume"	2
"bulk"	2
"waxes"	2
"soil"	2
"weighed"	2
"persons"	2
"depends"	2
"sanity"	2
"fits"	2
"peculiar"	2
"weigh"	2
"songs"	2
"open"	2
"prodigal"	2
"canker"	2
"galls"	2
"disclosed"	2
"imminent"	2
"wary"	2
"puffed"	2
"occasion"	2
"precepts"	2
"character"	2
"grapple"	2
"palm"	2
"beware"	2
"quarrel"	2
"buy"	2
"proclaims"	2
"station"	2
"servants"	2
"locked"	2
"baby"	2
"dearly"	2
"running"	2
"honourable"	2
"catch"	2
"promise"	2
"maiden"	2
"breathing"	2
"beguile"	2
"moment"	2
"slander"	2
"talk"	2
"eager"	2
"held"	2
"rhenish"	2
"kettle"	2
"observance"	2
"charitable"	2
"com"	2
"fools"	2
"hideous"	2
"horridly"	2
"shake"	2
"beyond"	2
"wafts"	2
"summit"	2
"petty"	2
"called"	2
"heav"	2
"issue"	2
"rotten"	2
"flames"	2
"forbid"	2
"quills"	2
"eternal"	2
"swift"	2
"wings"	2
"sweep"	2
"apt"	2
"shouldst"	2
"orchard"	2
"serpent"	2
"forged"	2
"sting"	2
"wears"	2
"witchcraft"	2
"lust"	2
"falling"	2
"dignity"	2
"vow"	2
"celestial"	2
"secure"	2
"smooth"	2
"cut"	2
"couch"	2
"contrive"	2
"glow"	2
"sinews"	2
"seat"	2
"wipe"	2
"baser"	2
"smile"	2
"calling"	2
"wonderful"	2
"arrant"	2
"sayst"	2
"oath"	2
"propose"	2
"mole"	2
"remove"	2
"philosophy"	2
"odd"	2
"doubtful"	2
"willing"	2
"lips"	2
"money"	2
"wisely"	2
"enquire"	2
"behaviour"	2
"finding"	2
"nearer"	2
"demands"	2
"dishonour"	2
"swearing"	2
"scandal"	2
"fetch"	2
"laying"	2
"working"	2
"assured"	2
"according"	2
"former"	2
"inclination"	2
"knees"	2
"profound"	2
"seemed"	2
"feared"	2
"jealousy"	2
"proper"	2
"opinions"	2
"hasty"	2
"sending"	2
"pleasures"	2
"unknown"	2
"talked"	2
"living"	2
"gentry"	2
"majesties"	2
"entreaty"	2
"trail"	2
"used"	2
"lunacy"	2
"fruit"	2
"sickness"	2
"allowance"	2
"considered"	2
"labour"	2
"limbs"	2
"defect"	2
"obedience"	2
"beautified"	2
"numbers"	2
"lock"	2
"weakness"	2
"likely"	2
"hid"	2
"hours"	2
"lobby"	2
"loose"	2
"farm"	2
"reading"	2
"fishmonger"	2
"picked"	2
"breed"	2
"dog"	2
"kissing"	2
"maggots"	2
"extremity"	2
"faces"	2
